,property_id,date_obtained,price,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,property_size,flood_zone_type,cadastral_income,age,price_sq,property_type_HOUSE
42572,11347349,2024-05-16,170.0,25.0,GAS,False,True,1.0,1.0,1.0,True,False,False,False,0.0,False,0.0,C,298.0,9000,51.0558103,3.7111826,,GOOD,,NON_FLOOD_ZONE,285.0,,6.8,False
88796,11175950,2024-05-16,239.0,120.0,GAS,False,True,1.0,3.0,1.0,False,False,False,False,0.0,False,0.0,F,573.0,9000,51.0631756,3.7123242,1918.0,TO_BE_DONE_UP,60.0,NON_FLOOD_ZONE,294.0,106.0,1.9916666666666667,True
63915,11283154,2024-05-16,425.0,112.0,ELECTRIC,False,False,1.0,3.0,1.0,False,False,False,True,14.0,False,0.0,B,156.0,9000,51.0325586,3.7072869,2009.0,TO_BE_DONE_UP,,Unknown,1112.0,15.0,3.794642857142857,False
101434,11366035,2024-05-16,177.5,105.0,Unknown,False,False,1.0,3.0,1.0,False,False,False,False,0.0,False,0.0,F,549.0,9040,51.0541015,3.7475659,,TO_RENOVATE,50.0,NON_FLOOD_ZONE,579.0,,1.6904761904761905,True
47148,11286359,2024-05-16,278.0,125.0,GAS,False,False,1.0,2.0,2.0,False,False,False,False,0.0,True,261.0,D,319.0,9041,51.0935795,3.759201,1933.0,TO_BE_DONE_UP,261.0,NON_FLOOD_ZONE,257.0,91.0,2.224,True
17334,11341004,2024-05-16,289.0,121.0,GAS,True,False,1.0,3.0,1.0,False,False,False,False,0.0,False,0.0,D,319.0,9000,51.0634897,3.7048241,,GOOD,60.0,Unknown,468.0,,2.3884297520661155,True
114739,11362972,2024-05-16,299.0,88.0,GAS,False,True,1.0,2.0,1.0,True,False,False,False,0.0,True,17.0,B,181.0,9031,51.05249,3.657973,2010.0,GOOD,,NON_FLOOD_ZONE,983.0,14.0,3.397727272727273,False
27466,11255789,2024-05-16,775.0,218.0,GAS,False,True,2.0,3.0,2.0,False,True,True,False,0.0,False,0.0,C,218.0,9031,51.0469191,3.6548144,1997.0,TO_BE_DONE_UP,37658.0,Unknown,1449.0,27.0,3.555045871559633,True
103522,11386077,2024-05-16,449.0,129.0,GAS,False,True,1.0,3.0,1.0,True,False,False,True,17.0,False,0.0,A,96.0,9000,51.0512429,3.7180318,,GOOD,,NON_FLOOD_ZONE,1076.0,,3.4806201550387597,False
14019,11351745,2024-05-16,384.0,150.0,GAS,False,True,1.0,3.0,2.0,True,False,True,True,0.0,False,0.0,B,139.0,9000,51.0442188,3.7570208,1935.0,AS_NEW,,Unknown,980.0,89.0,2.56,False
112454,11326374,2024-05-16,224.5,75.0,Unknown,False,True,1.0,2.0,1.0,True,False,False,False,0.0,False,0.0,D,328.0,9032,51.084468,3.7155481,,GOOD,45.0,NON_FLOOD_ZONE,649.0,,2.993333333333333,True
