property_id,date_obtained,price,property_type,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_rooms,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_dining_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,floor_number,total_floors,property_size,flood_zone_type,cadastral_income
11326221,21052024,279000,APARTMENT,94.0,GAS,False,True,9.0,1.0,2,,True,,,True,True,,,,B,178.0,9040,51.0736249,3.7472333,1965.0,GOOD,,,,NON_FLOOD_ZONE,686
11326221,19052024,279000,APARTMENT,94.0,GAS,False,True,9.0,1.0,2,,True,,,True,True,,,,B,178.0,9040,51.0736249,3.7472333,1965.0,GOOD,,,,NON_FLOOD_ZONE,686
11386911,19052024,1090000,HOUSE,,,False,True,11.0,2.0,0,2.0,False,,,True,,,True,450.0,,,9820,51.0250429,3.7489088,,,,,1387.0,NON_FLOOD_ZONE,0
11376909,19052024,269000,APARTMENT,99.0,,False,True,12.0,1.0,2,2.0,False,,,,,,,,B,141.0,9050,51.0382803,3.7476915,1960.0,TO_BE_DONE_UP,,,,NON_FLOOD_ZONE,0
11362707,19052024,563000,HOUSE,187.0,,,True,1.0,1.0,4,1.0,True,,,True,,,,,B,172.0,9000,51.0269153,3.7070207,1954.0,GOOD,,,230.0,,937
11361176,19052024,995000,HOUSE,,ELECTRIC,False,False,,,0,,False,,,,True,12.0,True,50.0,,,9000,51.0535798,3.7145666,,,,3.0,130.0,,0
11043807,18052024,795000,HOUSE,,GAS,False,True,1.0,,0,,True,,,,,,,,F,,9032,51.1023547,3.7128914,,GOOD,,,319.0,NON_FLOOD_ZONE,594
11043807,16052024,795000,HOUSE,,GAS,False,True,1.0,,0,,True,,,,,,,,F,,9032,51.1023547,3.7128914,,GOOD,,,319.0,NON_FLOOD_ZONE,594
11043807,21052024,795000,HOUSE,,GAS,False,True,1.0,,0,,True,,,,,,,,F,,9032,51.1023547,3.7128914,,GOOD,,,319.0,NON_FLOOD_ZONE,594
11043807,19052024,795000,HOUSE,,GAS,False,True,1.0,,0,,True,,,,,,,,F,,9032,51.1023547,3.7128914,,GOOD,,,319.0,NON_FLOOD_ZONE,594
11323595,19052024,364000,APARTMENT,89.0,GAS,False,True,9.0,,2,1.0,False,,,,,,,,,,9820,51.0189282,3.7474097,2009.0,GOOD,,2.0,,NON_FLOOD_ZONE,1086
