property_id,date_obtained,price,property_type,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_rooms,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_dining_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,floor_number,total_floors,property_size,flood_zone_type,cadastral_income
11043807,18052024,795000,HOUSE,,GAS,False,True,1.0,,0,,True,,,,,,,,F,,9032,51.1023547,3.7128914,,GOOD,,,319.0,NON_FLOOD_ZONE,594
11043807,16052024,795000,HOUSE,,GAS,False,True,1.0,,0,,True,,,,,,,,F,,9032,51.1023547,3.7128914,,GOOD,,,319.0,NON_FLOOD_ZONE,594
11259053,18052024,695000,HOUSE,250.0,GAS,,True,,2.0,3,2.0,False,,True,,True,80.0,True,440.0,B,163.0,9032,51.0846765,3.6982915,,AS_NEW,,2.0,580.0,NON_FLOOD_ZONE,0
11259053,16052024,695000,HOUSE,250.0,GAS,,True,,2.0,3,2.0,False,,True,,True,80.0,True,440.0,B,163.0,9032,51.0846765,3.6982915,,AS_NEW,,2.0,580.0,NON_FLOOD_ZONE,0
11333169,18052024,335000,APARTMENT,104.0,GAS,False,True,1.0,1.0,2,2.0,True,,,,,,,,B,144.0,9030,51.0752689,3.684144,2003.0,AS_NEW,,2.0,,NON_FLOOD_ZONE,0
11333169,16052024,335000,APARTMENT,104.0,GAS,False,True,1.0,1.0,2,2.0,True,,,,,,,,B,144.0,9030,51.0752689,3.684144,2003.0,AS_NEW,,2.0,,NON_FLOOD_ZONE,0
11376931,18052024,345000,APARTMENT,72.0,ELECTRIC,True,True,9.0,1.0,2,1.0,False,,,,,,,,D,341.0,9000,51.0466014,3.7400579,2005.0,GOOD,,3.0,,,807
11376931,16052024,345000,APARTMENT,72.0,ELECTRIC,True,True,9.0,1.0,2,1.0,False,,,,,,,,D,341.0,9000,51.0466014,3.7400579,2005.0,GOOD,,3.0,,,807
11276412,18052024,289000,HOUSE,131.0,GAS,,,,1.0,3,,False,,,,,,True,185.0,D,339.0,9032,51.0779997,3.7110695,1943.0,TO_BE_DONE_UP,,2.0,370.0,NON_FLOOD_ZONE,518
11276412,16052024,289000,HOUSE,131.0,GAS,,,,1.0,3,,False,,,,,,True,185.0,D,339.0,9032,51.0779997,3.7110695,1943.0,TO_BE_DONE_UP,,2.0,370.0,NON_FLOOD_ZONE,518
